,retweets,author,likes,text,twitter_name,location,verified,followers,friends,polarity,subjectivity,Time,Year,Month,Date,text_without_stopwords,corpus,hashtags
1,14,Elsevier Energy,98,Elsevier and the EditorsinChief are pleased to share the first volume of Energy and Climate Change now available on ScienceDirect Get FREE ACCESS until 1 June 2021,ElsevierEnergy,"Oxford, England",False,6615,508,0.3874999999999999,0.6333333333333333,14:30:00,2020,12,10,Elsevier EditorsinChief pleased share first volume Energy Climate Change available ScienceDirect Get FREE ACCESS 1 June 2021 ,elsevier editorsinchief pleased share first volume energy climate change available sciencedirect get free access june,"['elsevier', 'editorsinchief', 'pleased', 'share', 'first', 'volume', 'energy', 'climate', 'change', 'available']"
2,0,Arwyn Thomas,1,From better climate change education to improved sustainability heres what 2020 got right about environmental justice and global warming climate change environment hometopstory,siwarr5,Carmarthen,False,22,133,0.2619047619047619,0.3452380952380952,21:28:52,2020,12,22,From better climate change education improved sustainability heres 2020 got right environmental justice global warming climate change environment hometopstory ,better climate change education improved sustainability here got right environmental justice global warming climate change environment hometopstory,"['climate', 'change', 'better', 'education', 'improved', 'sustainability', 'got', 'right', 'environmental', 'justice']"
3,0,"Tom Gillispie, EDITOR/WRITER",0,climate change Links to FIXING CLIMATE CHANGE climatechange CO2 global warming,EDITORatWORK,"Rural Hall, North Carolina, USA",False,4191,3708,0.0,0.0,21:24:10,2020,12,22,climate change Links FIXING CLIMATE CHANGE climatechange CO2 global warming ,climate change link fixing climate change climatechange co global warming,"['climate', 'change', 'link', 'fixing', 'climatechange', 'co', 'global', 'warming']"
4,1,"Tom Gillispie, EDITOR/WRITER",1,climate change The 11TH HOUR FOR THE EARTH climatechange global warming GlobalWarming,EDITORatWORK,"Rural Hall, North Carolina, USA",False,4191,3708,0.0,0.0,22:52:09,2020,12,21,climate change The 11TH HOUR FOR THE EARTH climatechange global warming GlobalWarming ,climate change th hour earth climatechange global warming globalwarming,"['climate', 'change', 'th', 'hour', 'earth', 'climatechange', 'global', 'warming', 'globalwarming']"
5,0,MapsofWorld,0,For years now scientists and governments have discussed and debated the effects of climate change and global warming Very little has been doneHave a look at Climate Change over the Centuryenvironment climate Change,mapsofworld,"San Jose, US",False,5292,130,-0.121875,0.325,15:45:12,2020,12,21,For years scientists governments discussed debated effects climate change global warming Very little doneHave look Climate Change Centuryenvironment climate Change ,year scientist government discussed debated effect climate change global warming little donehave look climate change centuryenvironment climate change,"['climate', 'change', 'year', 'scientist', 'government', 'discussed', 'debated', 'effect', 'global', 'warming']"
6,0,EHN,1,The growing impacts of climate change have already pushed more than 18 million people to migrate within South Asian countries but that could more than triple if global warming continues on its current path researchers have warned Reuters,EnvirHealthNews,"Charlottesville, VA",False,10248,2466,0.2,0.2799999999999999,13:00:46,2020,12,21,The growing impacts climate change already pushed 18 million people migrate within South Asian countries could triple global warming continues current path researchers warned Reuters ,growing impact climate change already pushed million people migrate within south asian country could triple global warming continues current path researcher warned reuters,"['growing', 'impact', 'climate', 'change', 'already', 'pushed', 'million', 'people', 'migrate', 'within']"
7,0,"Tom Gillispie, WRITER/EDITOR",0,deserts forests TURNING DESERTS INTO FORESTS climate change CO2 global warming,SptsGuy1,"Rural Hall, NC",False,2281,2155,0.0,0.0,19:28:17,2020,12,20,deserts forests TURNING DESERTS INTO FORESTS climate change CO2 global warming ,desert forest turning desert forest climate change co global warming,"['desert', 'forest', 'turning', 'climate', 'change', 'co', 'global', 'warming']"
8,6,Chris Fox,8,The Federal Reserve on Tuesday took its most significant step forward on climate change announcing that it joined a group of some 75 other central banks focused on rooting out the risk warming poses to the global financial system via grist,ChristopherNFox,"Boston, MA",False,18451,15267,0.125,0.3333333333333333,13:21:46,2020,12,20,The Federal Reserve Tuesday took significant step forward climate change announcing joined group 75 central banks focused rooting risk warming poses global financial system via grist ,federal reserve tuesday took significant step forward climate change announcing joined group central bank focused rooting risk warming pose global financial system via grist,"['federal', 'reserve', 'tuesday', 'took', 'significant', 'step', 'forward', 'climate', 'change', 'announcing']"
9,1,"Greg Byrne, NL_Expatriate",1,cravecreative johnjakester Ordinary men should be required reading for all humans in positions of powerTHALIDOMIDECovid amp CO2 are lies built on inconvenient truthsBaby BOOMER Bust due to SEASONAL flu amp old ageMilankovitch cycles cause Climate ChangeObliquity is causing Global Warming,ExpatriateNl,Earth,False,1331,3829,-0.175,0.415,20:17:41,2020,12,18,cravecreative johnjakester Ordinary men required reading humans positions powerTHALIDOMIDECovid amp CO2 lies built inconvenient truthsBaby BOOMER Bust due SEASONAL flu amp old ageMilankovitch cycles cause Climate ChangeObliquity causing Global Warming ,cravecreative johnjakester ordinary men required reading human position powerthalidomidecovid amp co lie built inconvenient truthsbaby boomer bust due seasonal flu amp old agemilankovitch cycle cause climate changeobliquity causing global warming,"['amp', 'cravecreative', 'johnjakester', 'ordinary', 'men', 'required', 'reading', 'human', 'position', 'powerthalidomidecovid']"
10,0,"Greg Byrne, NL_Expatriate",0,THALIDOMIDECovid amp CO2 are lies built on inconvenient truthsBaby BOOMER Bust due to SEASONAL flu amp old ageMilankovitch cycles cause Climate ChangeObliquity is causing Global WarmingPrecession Will cause Global Tsunamis at vernal equinoxesWwG1WgA Humanity,ExpatriateNl,Earth,False,1331,3829,-0.125,0.315,20:16:12,2020,12,18,THALIDOMIDECovid amp CO2 lies built inconvenient truthsBaby BOOMER Bust due SEASONAL flu amp old ageMilankovitch cycles cause Climate ChangeObliquity causing Global WarmingPrecession Will cause Global Tsunamis vernal equinoxesWwG1WgA Humanity ,thalidomidecovid amp co lie built inconvenient truthsbaby boomer bust due seasonal flu amp old agemilankovitch cycle cause climate changeobliquity causing global warmingprecession cause global tsunami vernal equinoxeswwg wga humanity,"['amp', 'cause', 'global', 'thalidomidecovid', 'co', 'lie', 'built', 'inconvenient', 'truthsbaby', 'boomer']"
11,0,Alex Morrison M.S. will get vaccinated,0,Global warming is likely to cause global atmospheric circulation to change and progressively revert to a situation similar to that of 5000 to 10000 years agoClimateChange Climate ClimateAction,AlexMorrisonWX,"Moline, Il",False,341,920,0.0,0.2799999999999999,12:56:07,2020,12,18,Global warming likely cause global atmospheric circulation change progressively revert situation similar 5000 10000 years agoClimateChange Climate ClimateAction ,global warming likely cause global atmospheric circulation change progressively revert situation similar year agoclimatechange climate climateaction,"['global', 'warming', 'likely', 'cause', 'atmospheric', 'circulation', 'change', 'progressively', 'revert', 'situation']"
12,0,Daily Climate,0,Planetwarming carbon dioxide emissions from buildings and construction are jeopardising global goals to keep devastating climate change at bay Reuters,TheDailyClimate,"Bozeman, Mont.",False,17704,1370,-0.5,0.5,12:00:33,2020,12,18,Planetwarming carbon dioxide emissions buildings construction jeopardising global goals keep devastating climate change bay Reuters ,planetwarming carbon dioxide emission building construction jeopardising global goal keep devastating climate change bay reuters,"['planetwarming', 'carbon', 'dioxide', 'emission', 'building', 'construction', 'jeopardising', 'global', 'goal', 'keep']"
13,0,Eric Mack,0,Warming oceans contribute to storms that could drop 5 feet of snow on some towns in Japan this week This isnt just the kind of global weirding that defines 2020 its the change of climate systems that will redefine how we live in decades to come ClimateAction climate,EricCMack,New Mexico,False,7094,2114,0.2454545454545454,0.4666666666666666,04:18:41,2020,12,17,Warming oceans contribute storms could drop 5 feet snow towns Japan week This isnt kind global weirding defines 2020 change climate systems redefine live decades come ClimateAction climate ,warming ocean contribute storm could drop foot snow town japan week isnt kind global weirding defines change climate system redefine live decade come climateaction climate,"['climate', 'warming', 'ocean', 'contribute', 'storm', 'drop', 'foot', 'snow', 'town', 'japan']"
14,0,"Tom Gillispie, EDITOR/WRITER",1,climate change NEW links to FIXING CLIMATE CHANGE climatechange CO2 global warming cutting emissions,EDITORatWORK,"Rural Hall, North Carolina, USA",False,4191,3708,-0.1545454545454545,0.4515151515151515,22:46:27,2020,12,16,climate change NEW links FIXING CLIMATE CHANGE climatechange CO2 global warming cutting emissions ,climate change new link fixing climate change climatechange co global warming cutting emission,"['climate', 'change', 'new', 'link', 'fixing', 'climatechange', 'co', 'global', 'warming', 'cutting']"
15,0,"Greg Byrne, NL_Expatriate",4,globeandmail I wonder whyThe media and our govts are lying to usThe Milankovitch cycles cause climate change Global warming and global tsunamis at the vernal equinoxesCovid is the Baby Boomer Bust due to the seasonal FLU and old age,ExpatriateNl,Earth,False,1331,3829,-0.0062499999999999,0.14375,20:24:38,2020,12,16,globeandmail I wonder whyThe media govts lying usThe Milankovitch cycles cause climate change Global warming global tsunamis vernal equinoxesCovid Baby Boomer Bust due seasonal FLU old age ,globeandmail wonder whythe medium govts lying usthe milankovitch cycle cause climate change global warming global tsunami vernal equinoxescovid baby boomer bust due seasonal flu old age,"['global', 'globeandmail', 'wonder', 'whythe', 'medium', 'govts', 'lying', 'usthe', 'milankovitch', 'cycle']"
16,0,Mrunmayee Padhye,0,Global CO2 emissions from fossil fuel and industry are expected to drop in 2020 While it wont slow the pace of global warming it serves as a unique opportunity to secure longterm emissions cuts by following an economic recovery aligned with tackling climate change,MrunmayeePadhy1,"Mumbai, India",False,11,74,0.071875,0.3375,16:32:40,2020,12,15,Global CO2 emissions fossil fuel industry expected drop 2020 While wont slow pace global warming serves unique opportunity secure longterm emissions cuts following economic recovery aligned tackling climate change ,global co emission fossil fuel industry expected drop wont slow pace global warming serf unique opportunity secure longterm emission cut following economic recovery aligned tackling climate change,"['global', 'emission', 'co', 'fossil', 'fuel', 'industry', 'expected', 'drop', 'wont', 'slow']"
17,1,Terracon Ecotech Pvt. Ltd.,0,In 2019 a UN climate science report said the way the world manages land and how food is produced and consumed had to change to curb global warming or food security health and biodiversity would be at riskClimateChange climate,terracon_india,"Based in Mumbai, India",False,249,328,0.0,0.0,05:55:00,2020,12,15,In 2019 UN climate science report said way world manages land food produced consumed change curb global warming food security health biodiversity would riskClimateChange climate ,un climate science report said way world manages land food produced consumed change curb global warming food security health biodiversity would riskclimatechange climate,"['climate', 'food', 'un', 'science', 'report', 'said', 'way', 'world', 'manages', 'land']"
18,0,Lucy P. Marcus,0,Oil major Exxon Mobil Corp said on Monday it planned to reduce its greenhouse gas emissions over the next five years as investors and climate change campaigners ratchet up the pressure for action to limit global warming climate,lucymarcus,UK,True,27470,594,0.040625,0.15,16:04:33,2020,12,14,Oil major Exxon Mobil Corp said Monday planned reduce greenhouse gas emissions next five years investors climate change campaigners ratchet pressure action limit global warming climate ,oil major exxon mobil corp said monday planned reduce greenhouse gas emission next five year investor climate change campaigner ratchet pressure action limit global warming climate,"['climate', 'oil', 'major', 'exxon', 'mobil', 'corp', 'said', 'monday', 'planned', 'reduce']"
19,0,Maraaz.Com,0,Emergency call on climate change from Guterres United Nations SecretaryGeneral Antonio Guterres in his speech at the climate change summit For world leaders to take action to avoid global warming He said they should declare a climate emergency,Maraazcom,Global,False,112,264,0.05,0.05,11:21:15,2020,12,13,Emergency call climate change Guterres United Nations SecretaryGeneral Antonio Guterres speech climate change summit For world leaders take action avoid global warming He said declare climate emergency ,emergency call climate change guterres united nation secretarygeneral antonio guterres speech climate change summit world leader take action avoid global warming said declare climate emergency,"['climate', 'emergency', 'change', 'guterres', 'call', 'united', 'nation', 'secretarygeneral', 'antonio', 'speech']"
20,0,mERIChristmas🎄,7,15 is the preferred limit on global warming as per the Paris Agreement five years old this week 15 was chosen as it would significantly reduce risks and the impact of climate change FightFor1Point5 FridaysForFuture DigitalStrike ClimateStrikeOnline klimat climate,ericthelemming,"Ljungsbro, Sweden",False,663,867,0.1583333333333333,0.3583333333333333,15:44:37,2020,12,11,15 preferred limit global warming per Paris Agreement five years old week 15 chosen would significantly reduce risks impact climate change FightFor1Point5 FridaysForFuture DigitalStrike ClimateStrikeOnline klimat climate ,preferred limit global warming per paris agreement five year old week chosen would significantly reduce risk impact climate change fightfor point fridaysforfuture digitalstrike climatestrikeonline klimat climate,"['climate', 'preferred', 'limit', 'global', 'warming', 'per', 'paris', 'agreement', 'five', 'year']"
22,1,rituparna bharat sarma,3,Its very alarming for World that Nov montha winter month recorded warming climate month Warm conditions persisted over large swaths of planet climate changeGlobal warming will change our food fm Tea to Ricelife stylebody shapebehaviour in next 20 yrsour next generation,rituparnasarm10,"Assam,born on 25th Dec",False,4048,3876,0.1368571428571428,0.3617142857142857,19:17:46,2020,12,09,Its alarming World Nov montha winter month recorded warming climate month Warm conditions persisted large swaths planet climate changeGlobal warming change food fm Tea Ricelife stylebody shapebehaviour next 20 yrsour next generation ,alarming world nov montha winter month recorded warming climate month warm condition persisted large swath planet climate changeglobal warming change food fm tea ricelife stylebody shapebehaviour next yrsour next generation,"['month', 'warming', 'climate', 'next', 'alarming', 'world', 'nov', 'montha', 'winter', 'recorded']"
23,0,The World's Troubles,0,Climate Change If CO2 and other GHG emissions are not rapidly reduced the world will likely exceed global warming of 15C between 2026 and 2042 The ParisAgreement seeks to limit warming to below 2C UN ClimateChange climate Senate UNEP politics,worldcrisis2013,"Ohio, USA",False,35,127,-0.0416666666666666,0.4583333333333333,16:58:24,2020,12,09,Climate Change If CO2 GHG emissions rapidly reduced world likely exceed global warming 15C 2026 2042 The ParisAgreement seeks limit warming 2C UN ClimateChange climate Senate UNEP politics ,climate change co ghg emission rapidly reduced world likely exceed global warming c parisagreement seek limit warming c un climatechange climate senate unep politics,"['climate', 'warming', 'c', 'change', 'co', 'ghg', 'emission', 'rapidly', 'reduced', 'world']"
25,1,Open Book Publishers,0,NewBlog On Global Warming in Local Discourses How Communities around the World Make Sense of Climate Change by Domenic RotundoRead now,OpenBookPublish,"Cambridge and London, England",True,8463,853,0.0,0.0,10:07:00,2020,12,09,NewBlog On Global Warming Local Discourses How Communities around World Make Sense Climate Change Domenic RotundoRead ,newblog global warming local discourse community around world make sense climate change domenic rotundoread,"['newblog', 'global', 'warming', 'local', 'discourse', 'community', 'around', 'world', 'make', 'sense']"
26,0,Open Book Publishers,0,Global Warming in Local Discourses constitutes a significant new contribution to understanding the multiperspectivity of our debates on climate change further highlighting the need for interdisciplinary study within this area 56,OpenBookPublish,"Cambridge and London, England",True,8463,853,0.1022727272727272,0.3659090909090909,11:41:29,2020,12,08,Global Warming Local Discourses constitutes significant new contribution understanding multiperspectivity debates climate change highlighting need interdisciplinary study within area 56 ,global warming local discourse constitutes significant new contribution understanding multiperspectivity debate climate change highlighting need interdisciplinary study within area,"['global', 'warming', 'local', 'discourse', 'constitutes', 'significant', 'new', 'contribution', 'understanding', 'multiperspectivity']"
27,2,Open Book Publishers,4,OutNow in OA Global Warming in Local Discourses How Communities around the World Make Sense of Climate Change by Michael Brggemann and Simone Rdder edsRead and download this title for free andor get your own hard copy at 16,OpenBookPublish,"Cambridge and London, England",True,8463,853,0.1416666666666666,0.4683333333333334,11:41:27,2020,12,08,OutNow OA Global Warming Local Discourses How Communities around World Make Sense Climate Change Michael Brggemann Simone Rdder edsRead download title free andor get hard copy 16 ,outnow oa global warming local discourse community around world make sense climate change michael brggemann simone rdder edsread download title free andor get hard copy,"['outnow', 'oa', 'global', 'warming', 'local', 'discourse', 'community', 'around', 'world', 'make']"
28,5,Your Planet Earth,9,To limit global warming to 15 degrees Celsius 27 degrees Fahrenheit which scientists say would avoid the most catastrophic impacts of climate change countries need to wind down their fossil fuel production by 6 every year between now and 2030GlobalWarming Climate,YourPlanetEart1,Australia,False,2472,3984,0.1148148148148148,0.262962962962963,09:42:29,2020,12,07,To limit global warming 15 degrees Celsius 27 degrees Fahrenheit scientists say would avoid catastrophic impacts climate change countries need wind fossil fuel production 6 every year 2030GlobalWarming Climate ,limit global warming degree celsius degree fahrenheit scientist say would avoid catastrophic impact climate change country need wind fossil fuel production every year globalwarming climate,"['degree', 'climate', 'limit', 'global', 'warming', 'celsius', 'fahrenheit', 'scientist', 'say', 'avoid']"
31,0,Daily Climate,0,NewZealand has joined 30 states in declaring an emergency in the country due to the threat of climate change According to research this island nation will be particularly affected by global warming,TheDailyClimate,"Bozeman, Mont.",False,17704,1370,0.0138888888888888,0.236111111111111,10:00:27,2020,12,04,NewZealand joined 30 states declaring emergency country due threat climate change According research island nation particularly affected global warming ,newzealand joined state declaring emergency country due threat climate change according research island nation particularly affected global warming,"['newzealand', 'joined', 'state', 'declaring', 'emergency', 'country', 'due', 'threat', 'climate', 'change']"
32,0,Centre for Cultural Resources and Training,1,and Rtd Associate Professor of Cotton University Assam He discussed about the types of environment and its components and major environmental issues which have led to climate change He also highlighted issues like Global Warming and Green House Effect,CCRTNewDelhi,"Dwarka, New Delhi",True,2333,168,-0.0458333333333333,0.2666666666666666,16:09:30,2020,12,02,Rtd Associate Professor Cotton University Assam He discussed types environment components major environmental issues led climate change He also highlighted issues like Global Warming Green House Effect ,rtd associate professor cotton university assam discussed type environment component major environmental issue led climate change also highlighted issue like global warming green house effect,"['issue', 'rtd', 'associate', 'professor', 'cotton', 'university', 'assam', 'discussed', 'type', 'environment']"
33,2,TRF Climate,2,The worlds governments plan to produce more than double the amount of coal oil and gas in 2030 than would be consistent with curbing global warming says new report in latest warning over climate change fossilfuels ProductionGap UNEP,TRF_Climate,London,True,14226,1694,0.231060606060606,0.3507575757575757,15:20:55,2020,12,02,The worlds governments plan produce double amount coal oil gas 2030 would consistent curbing global warming says new report latest warning climate change fossilfuels ProductionGap UNEP ,world government plan produce double amount coal oil gas would consistent curbing global warming say new report latest warning climate change fossilfuels productiongap unep,"['world', 'government', 'plan', 'produce', 'double', 'amount', 'coal', 'oil', 'gas', 'consistent']"
34,0,Andreas Geiges,0,Optimistic analysis of netzero target This only indicates that we still can fight global warmingA 5050 change for 21C is still a warming level that threatens our planetWe need real climate action and accountable reductions in 2030 targets ParisAgreement,AGeiges,Berlin,False,82,171,0.075,0.35,15:19:57,2020,12,01,Optimistic analysis netzero target This indicates still fight global warmingA 5050 change 21C still warming level threatens planetWe need real climate action accountable reductions 2030 targets ParisAgreement ,optimistic analysis netzero target indicates still fight global warminga change c still warming level threatens planetwe need real climate action accountable reduction target parisagreement,"['target', 'still', 'optimistic', 'analysis', 'netzero', 'indicates', 'fight', 'global', 'warminga', 'change']"
35,1,"Tom Gillispie, EDITOR/WRITER",0,climate The 11TH HOUR FOR THE EARTH change climatechange global warming,EDITORatWORK,"Rural Hall, North Carolina, USA",False,4191,3708,0.0,0.0,20:01:51,2020,11,27,climate The 11TH HOUR FOR THE EARTH change climatechange global warming ,climate th hour earth change climatechange global warming,"['climate', 'th', 'hour', 'earth', 'change', 'climatechange', 'global', 'warming']"
36,0,"Greg Byrne, NL_Expatriate",0,ShadyCrossing YouTube Probably because you dont know what he wss referring toNazarene meant truth tellerLike Milankovitch cycles cause climate change Global Warming Global Tsunamis at the vernal equinoxes every 130 lifetimes,ExpatriateNl,Earth,False,1331,3829,0.0,0.0,20:01:42,2020,11,26,ShadyCrossing YouTube Probably dont know wss referring toNazarene meant truth tellerLike Milankovitch cycles cause climate change Global Warming Global Tsunamis vernal equinoxes every 130 lifetimes ,shadycrossing youtube probably dont know w referring tonazarene meant truth tellerlike milankovitch cycle cause climate change global warming global tsunami vernal equinox every lifetime,"['global', 'shadycrossing', 'youtube', 'probably', 'dont', 'know', 'w', 'referring', 'tonazarene', 'meant']"
